"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Solyc11g012320.2",123068.175093095,-6.66903488243744,0.224219989497464,-25.2833607527287,4.86874651813492e-141,2.50336443313295e-138
"Solyc09g008200.3",8946.25549894068,-5.75731228921449,0.18956944677472,-25.0953535506593,5.58948601645047e-139,2.81407331403213e-136
"Solyc10g083670.2",4819.51174909918,-7.65389296312134,0.265918058239116,-25.0223433759361,3.49298786510167e-138,1.72268458669484e-135
"Solyc03g114030.3",7059.6992903467,-3.93218709168523,0.117632126987613,-24.9267539980297,3.81633016802095e-137,1.84450869680789e-134
"Solyc02g088100.3",19352.7934200297,-6.51590750150577,0.223066933179535,-24.7275892615886,5.40223333542827e-135,2.51058405353769e-132
"Solyc09g098530.3",41849.0589154173,-3.8448566214098,0.116617189829386,-24.3948308613156,1.9404595508988e-131,8.6839158346334e-129
"Solyc05g054090.3",35161.8361501846,-8.19185534140869,0.29495509587549,-24.3828821470662,2.59822519775902e-131,1.14161291143717e-128
"Solyc07g049440.3",16046.057175235,-6.24163338607494,0.216907064831478,-24.1653419179653,5.15097500356287e-129,2.22282967743036e-126
"Solyc03g013340.3",1904.23934930628,-5.14453993796814,0.176568256425034,-23.4727352576413,7.74690484405746e-122,3.12019504102488e-119
"Solyc07g062530.3",53478.1769401913,-7.77975944888652,0.288833335760234,-23.4729119166305,7.71478952608363e-122,3.12019504102488e-119
"Solyc01g099630.3",31750.92397638,-6.01611375896095,0.214222686732967,-23.4154180187911,2.97693447103546e-121,1.17935407257447e-118
"Solyc02g089880.3",1245.71271891808,-4.93578642450184,0.171831601858481,-22.9049044642167,4.15165492203128e-116,1.54352142839705e-113
"Solyc03g114000.3",1228.90611661529,-6.25632389350611,0.229711289232338,-22.8823054847326,6.97172399772388e-116,2.51460719595515e-113
"Solyc01g087850.2",3359.12985051516,-5.18579822730501,0.182925090511673,-22.8825811461763,6.927802968656e-116,2.51460719595515e-113
"Solyc06g082460.1",1698.20322773284,-4.26210634022458,0.142684659146974,-22.8623480598879,1.10144113226115e-115,3.91432741209161e-113
"Solyc04g079640.3",1442.6410410789,-6.53679207393497,0.242963968958964,-22.7885315574101,5.95800229870615e-115,2.05687262215047e-112
